district_id,name,wards
67,Chamunda Bindrasaini,9
68,Chhedagad,13
68,Bheri,13
68,Nalgad,13
68,Junichande,11
68,Kuse,9
68,Barekot,9
68,Shivalaya,9
69,Mahakali,9
69,Shailyashikhar,9
69,Naugad,6
69,Malikarjun,8
69,Marma,6
69,Lekam,6
69,Duhun,5
69,Vyans,6
69,Apihimal,6
70,Jayaprithvi,11
70,Bungal,11
70,Kedarsyu,9
70,Thalara,9
70,Bitthadchir,9
70,Chhabis Pathibhera,7
70,Khaptadchhanna,7
70,Masta,7
70,Durgathali,7
70,Talkot,7
70,Surma,5
70,Saipal,5
71,Badimalika,9
71,Triveni,9
71,Budhiganga,10
71,Budhinanda,10
71,Khaptad Chhededaha,7
71,Swami Kartik Khapar,5
71,Jagannath,6
71,Himali,7
71,Gaumul,6
72,Dashrathchanda,11
72,Patan,10
72,Melauli,9
72,Purchaudi,10
72,Dogdakedar,8
72,Dilashaini,7
72,Sigas,9
72,Pancheshwar,6
72,Surnaya,8
72,Shivanath,6
73,Dipayal Silgadhi,9
73,Shikhar,11
73,Aadarsha,7
73,Purbichauki,7
73,K.I.Singh,7
73,Jorayal,6
73,Sayal,6
73,Bogatan-Phudsil,7
73,Badikedar,5
74,Ramaroshan,7
74,Chaurpati,7
74,Turmakhand,8
74,Mellekh,8
74,Dhakari,8
74,Bannigadi Jayagad,6
74,Mangalsen,14
74,Kamalbazar,10
74,Sanfebagar,14
74,Panchadewal Binayak,9
75,Navadurga,5
75,Aalitaal,8
75,Ganyapadhura,5
75,Bhageshwar,5
75,Ajaymeru,6
75,Amargadhi,11
75,Parshuram,12
76,Bhimdatta,19
76,Punarbas,11
76,Bedkot,10
76,Mahakali,10
76,Shuklaphanta,12
76,Belauri,10
76,Krishnapur,9
76,Laljhadi,6
76,Beldandi,5
77,Janaki,9
77,Kailari,9
77,Joshipur,7
77,Bardagoriya,6
77,Mohanyal,7
77,Chure,6
77,Tikapur,9
77,Ghodaghodi,12
77,Lamkichuha,10
77,Bhajni,9
77,Godawari,12
77,Gauriganga,11
77,Dhangadhi,19
